customer_id,hotel_id,transaction_id,first_night,number_of_nights,total_spend,is_member
1,101,380231,42822,0,264,FALSE
2,105,809167,42889,0,109,TRUE
3,102,576025,42822,2,135,FALSE
4,100,967255,42889,1,234,FALSE
5,100,345703,42822,0,303,FALSE
6,103,360456,42889,0,326,FALSE
7,103,827372,42822,1,324,FALSE
8,100,681220,42889,0,205,TRUE
9,104,742404,42822,2,223,FALSE
10,101,803876,42889,1,193,TRUE
11,100,487871,42822,0,338,FALSE
12,101,267548,42889,2,103,TRUE
13,101,736498,42822,1,116,FALSE
14,100,282645,42889,0,220,TRUE
15,100,469515,42822,2,179,FALSE
16,105,202171,42889,1,105,FALSE
17,102,621637,42822,1,340,FALSE
18,101,229045,42889,1,207,TRUE
19,100,758106,42822,1,349,TRUE
20,100,690540,42889,0,217,FALSE
1,100,773063,42822,1,222,FALSE
2,100,507290,42889,2,339,TRUE
3,101,749465,42822,0,166,FALSE
4,100,847520,42889,1,216,FALSE
5,100,141942,42822,0,195,FALSE
6,102,265632,42889,0,212,FALSE
7,100,685267,42822,0,218,FALSE
8,101,630195,42889,1,301,TRUE
9,102,427953,42822,1,123,FALSE
10,106,400211,42889,1,261,TRUE
11,100,189652,42822,1,198,FALSE
12,100,384142,42889,0,220,TRUE
13,100,324914,42822,1,261,FALSE
14,100,935992,42889,1,162,TRUE
15,100,887956,42822,1,309,FALSE
16,100,602542,42889,1,138,FALSE
17,100,962824,42822,0,287,FALSE
18,100,429853,42889,2,152,TRUE
19,101,890976,42822,0,120,TRUE
20,106,283064,42889,1,249,FALSE
1,103,270201,42822,1,291,FALSE
2,101,497432,42889,1,184,TRUE
3,100,552064,42822,0,246,FALSE
4,100,400071,42889,1,282,FALSE
5,100,552942,42822,1,224,FALSE
6,101,358856,42889,1,218,FALSE
7,101,750192,42822,1,262,FALSE
8,101,789013,42889,0,322,TRUE
9,101,230195,42822,1,337,FALSE
10,105,488734,42889,1,114,TRUE
11,101,219775,42822,0,346,FALSE
12,101,766180,42889,0,163,TRUE
13,100,683824,42822,1,299,FALSE
14,101,443084,42889,0,149,TRUE
15,101,737613,42822,0,238,FALSE
16,101,480136,42889,0,134,FALSE
17,101,366043,42822,1,324,FALSE
18,101,619870,42889,0,100,TRUE
19,101,188704,42822,1,269,TRUE
20,101,811152,42889,0,117,FALSE
1,100,169659,42822,1,120,FALSE
2,100,290838,42889,0,287,TRUE
3,105,766027,42822,0,154,FALSE
4,101,201864,42889,0,140,FALSE
5,101,497108,42822,0,163,FALSE
6,100,320147,42889,0,144,FALSE
7,101,114534,42822,0,209,FALSE
8,100,616159,42889,1,141,TRUE
9,101,668077,42822,0,145,FALSE
10,101,159989,42889,1,269,TRUE
11,101,206650,42822,0,193,FALSE
12,100,683914,42889,0,149,TRUE
13,101,980972,42822,1,205,FALSE
14,100,585012,42889,1,260,TRUE
15,100,235515,42822,1,258,FALSE
16,103,696759,42889,0,272,FALSE
17,101,990912,42822,0,203,FALSE
18,102,695767,42889,1,271,TRUE
19,100,432995,42822,1,114,TRUE
20,101,474411,42889,1,229,FALSE
1,100,586094,42822,0,159,FALSE
2,103,886765,42889,1,260,TRUE
3,100,362166,42822,1,131,FALSE
4,101,122393,42889,1,294,FALSE
5,101,935545,42822,1,219,FALSE
6,101,936943,42889,1,221,FALSE
7,100,698516,42822,0,275,FALSE
8,102,150123,42889,1,278,TRUE
9,101,944243,42822,1,144,FALSE
10,101,539386,42889,0,212,TRUE
11,100,200568,42822,0,267,FALSE
12,100,713340,42889,0,284,TRUE
13,100,486442,42822,2,216,FALSE
14,101,943134,42889,1,223,TRUE
15,103,478877,42822,1,316,FALSE
16,100,986766,42889,0,181,FALSE
17,100,394801,42822,1,108,FALSE
18,100,632746,42889,1,204,TRUE
19,100,302581,42822,0,102,TRUE
20,104,661637,42889,1,307,FALSE
1,103,261502,42822,2,241,FALSE
2,101,320961,42889,0,205,TRUE
3,105,934708,42822,1,255,FALSE
4,100,898407,42889,0,285,FALSE
5,103,758052,42822,1,185,FALSE
6,101,176413,42889,1,342,FALSE
7,101,461359,42822,0,177,FALSE
8,101,747442,42889,1,176,TRUE
9,100,302816,42822,0,163,FALSE
10,104,351808,42889,1,137,TRUE
11,101,175722,42822,1,267,FALSE
12,103,579904,42889,0,224,TRUE
13,100,399568,42822,0,334,FALSE
14,100,118285,42889,1,227,TRUE
15,104,695516,42822,0,235,FALSE
16,106,647313,42889,1,205,FALSE
17,100,836458,42822,0,139,FALSE
18,104,548906,42889,0,230,TRUE
19,100,632025,42822,1,243,TRUE
20,100,611399,42889,0,230,FALSE
1,105,272798,42822,2,191,FALSE
2,101,328306,42889,1,232,TRUE
3,101,290313,42822,1,345,FALSE
4,101,855902,42889,0,216,FALSE
5,101,750899,42822,1,306,FALSE
6,101,496474,42889,1,314,FALSE
7,101,263505,42822,0,293,FALSE
8,100,208836,42889,1,311,TRUE
9,100,351972,42822,1,145,FALSE
10,101,962479,42889,0,186,TRUE
11,100,489204,42822,1,349,FALSE
12,104,767545,42889,0,148,TRUE
13,100,568677,42822,1,346,FALSE
14,100,948665,42889,1,186,TRUE
15,101,763142,42822,1,175,FALSE
16,100,429488,42889,1,306,FALSE
17,100,992428,42822,0,150,FALSE
18,101,947413,42889,1,164,TRUE
19,101,454127,42822,0,273,TRUE
20,100,789225,42889,2,135,FALSE
1,101,710906,42822,1,157,FALSE
2,101,191030,42889,1,278,TRUE
3,103,435107,42822,1,178,FALSE
4,100,466480,42889,0,102,FALSE
5,103,580467,42822,0,173,FALSE
6,100,950653,42889,1,113,FALSE
7,100,637878,42822,0,140,FALSE
8,100,381400,42889,1,255,TRUE
9,101,479262,42822,1,123,FALSE
10,100,792264,42889,1,268,TRUE
11,102,853505,42822,0,297,FALSE
12,100,191297,42889,1,113,TRUE
13,101,859859,42822,1,187,FALSE
14,101,427009,42889,2,146,TRUE
15,101,936937,42822,0,191,FALSE
16,101,348178,42889,2,221,FALSE
17,101,705029,42822,0,324,FALSE
18,101,698934,42889,0,131,TRUE
19,100,832625,42822,0,139,TRUE
20,101,728244,42889,1,201,FALSE
1,101,947091,42822,0,203,FALSE
2,100,156130,42889,0,102,TRUE
3,100,118103,42822,0,327,FALSE
4,101,823324,42889,1,340,FALSE
5,105,639830,42822,0,336,FALSE
6,100,450950,42889,0,146,FALSE
7,100,964553,42822,1,260,FALSE
8,100,469865,42889,0,258,TRUE
9,100,872480,42822,1,144,FALSE
10,101,311554,42889,0,329,TRUE
11,100,537304,42822,0,161,FALSE
12,101,123580,42889,2,110,TRUE
13,104,587647,42822,1,332,FALSE
14,100,920506,42889,1,193,TRUE
15,106,805010,42822,1,219,FALSE
16,100,367296,42889,0,259,FALSE
17,101,609256,42822,1,165,FALSE
18,101,526463,42889,0,163,TRUE
19,100,793929,42822,0,120,TRUE
20,101,765788,42889,1,186,FALSE
1,100,402748,42822,0,239,FALSE
2,101,402214,42889,0,253,TRUE
3,101,713274,42822,1,225,FALSE
4,105,154525,42889,0,129,FALSE
5,100,577725,42822,0,117,FALSE
6,101,546393,42889,1,197,FALSE
7,101,589047,42822,0,337,FALSE
8,101,369296,42889,1,192,TRUE
9,101,403109,42822,0,306,FALSE
